CD_PROCEDIMENTO,DS_PROCEDIMENTO,CD_GRUPO,GRUPO,Qtd_Atendimentos,Competencia,Ano,Mes
0101010010,ATIVIDADE EDUCATIVA / ORIENTACAO EM GRUPO NA ATENCAO PRIMARIA,01,Ações de promoção e prevenção em saúde,60,2026-04-01,2026,4
0101010028,ATIVIDADE EDUCATIVA / ORIENTACAO EM GRUPO NA ATENCAO ESPECIALIZADA,01,Ações de promoção e prevenção em saúde,26,2026-04-01,2026,4
0101010036,PRATICA CORPORAL / ATIVIDADE FISICA EM GRUPO,01,Ações de promoção e prevenção em saúde,2,2026-04-01,2026,4
0101010117,ATIVIDADE DE EDUCACAO PERMANENTE EM SAUDE DO TRABALHADOR,01,Ações de promoção e prevenção em saúde,0,2026-04-01,2026,4
0101020015,ACAO COLETIVA DE APLICACAO TOPICA DE FLUOR GEL,01,Ações de promoção e prevenção em saúde,0,2026-04-01,2026,4
0101020023,ACAO COLETIVA DE BOCHECHO FLUORADO,01,Ações de promoção e prevenção em saúde,0,2026-04-01,2026,4
0101020031,ACAO COLETIVA DE ESCOVACAO DENTAL SUPERVISIONADA,01,Ações de promoção e prevenção em saúde,0,2026-04-01,2026,4
0101020040,ACAO COLETIVA DE EXAME BUCAL COM FINALIDADE EPIDEMIOLOGICA,01,Ações de promoção e prevenção em saúde,0,2026-04-01,2026,4
0101020058,APLICACAO DE CARIOSTATICO (POR DENTE),01,Ações de promoção e prevenção em saúde,0,2026-04-01,2026,4
0101020066,APLICACAO DE SELANTE (POR DENTE),01,Ações de promoção e prevenção em saúde,2,2026-04-01,2026,4
0101020074,APLICACAO TOPICA DE FLUOR (INDIVIDUAL POR SESSAO),01,Ações de promoção e prevenção em saúde,4,2026-04-01,2026,4
0101020082,EVIDENCIACAO DE PLACA BACTERIANA,01,Ações de promoção e prevenção em saúde,0,2026-04-01,2026,4
0101020090,SELAMENTO PROVISORIO DE CAVIDADE DENTARIA,01,Ações de promoção e prevenção em saúde,4,2026-04-01,2026,4
0101020104,ORIENTACAO DE HIGIENE BUCAL,01,Ações de promoção e prevenção em saúde,53,2026-04-01,2026,4
0101020112,ACAO COLETIVA DE PREVENCAO DE CANCER BUCAL,01,Ações de promoção e prevenção em saúde,0,2026-04-01,2026,4
0101020120,ORIENTACAO DE HIGIENIZACAO DE PROTESES DENTARIAS,01,Ações de promoção e prevenção em saúde,0,2026-04-01,2026,4
0101030010,VISITA DOMICILIAR POR PROFISSIONAL DE NIVEL MEDIO,01,Ações de promoção e prevenção em saúde,287,2026-04-01,2026,4
