 Produção Ambulatorial do SUS - São Paulo - por local de atendimento
Qtd.apresentada por Procedimento e Ano/mês atendimento
Período:Jul/2026
"Procedimento";"2026/Abr";"2026/Mai";"2026/Jun";"2026/Jul";"Total"
"0101010010 ATIVIDADE EDUCATIVA / ORIENTACAO EM GRUPO NA ATENCAO PRIMARIA";60;235;1975;115932;118202
"0101010028 ATIVIDADE EDUCATIVA / ORIENTACAO EM GRUPO NA ATENCAO ESPECIALIZADA";26;65;1618;35650;37359
"0101010036 PRATICA CORPORAL / ATIVIDADE FISICA EM GRUPO";2;111;95;27140;27348
"0101010117 ATIVIDADE DE EDUCACAO PERMANENTE EM SAUDE DO TRABALHADOR";-;-;2;159;161
"0101020015 ACAO COLETIVA DE APLICACAO TOPICA DE FLUOR GEL";-;5;30;4845;4880
"0101020023 ACAO COLETIVA DE BOCHECHO FLUORADO";-;-;-;245;245
"0101020031 ACAO COLETIVA DE ESCOVACAO DENTAL SUPERVISIONADA";-;28;178;27585;27791
"0101020040 ACAO COLETIVA DE EXAME BUCAL COM FINALIDADE EPIDEMIOLOGICA";-;16;146;14910;15072
"0101020058 APLICACAO DE CARIOSTATICO (POR DENTE)";-;-;5;2101;2106
"0101020066 APLICACAO DE SELANTE (POR DENTE)";2;-;122;6353;6477
"0101020074 APLICACAO TOPICA DE FLUOR (INDIVIDUAL POR SESSAO)";4;68;123;30749;30944
"0101020082 EVIDENCIACAO DE PLACA BACTERIANA";-;-;89;10753;10842
"0101020090 SELAMENTO PROVISORIO DE CAVIDADE DENTARIA";4;24;448;58253;58729
"0101020104 ORIENTACAO DE HIGIENE BUCAL";53;29;534;162416;163032
"0101020112 ACAO COLETIVA DE PREVENCAO DE CANCER BUCAL";-;-;6;1120;1126
"0101020120 ORIENTACAO DE HIGIENIZACAO DE PROTESES DENTARIAS";-;-;57;8861;8918
"0101030010 VISITA DOMICILIAR POR PROFISSIONAL DE NIVEL MEDIO";287;11419;52545;3850502;3914753
"0101030029 VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NIVEL SUPERIOR";2;6;80;18882;18970
"0101040024 AVALIACAO ANTROPOMETRICA";-;4;9076;931745;940825
"0101040032 COLETA EXTERNA DE LEITE MATERNO (POR DOADORA)";-;323;49;5258;5630
"0101040040 PASTEURIZACAO DO LEITE HUMANO (CADA 5 LITROS)";-;-;85;1083;1168
"0101040059 ADMINISTRACAO DE VITAMINA A";-;-;-;767;767
"0101050011 PRATICAS CORPORAIS EM MEDICINA TRADICIONAL CHINESA";-;1;81;6663;6745
"0101050020 TERAPIA COMUNITARIA";-;1;21;1531;1553
"0101050046 YOGA";-;-;5;1419;1424
"0101050054 OFICINA DE MASSAGEM/ AUTO-MASSAGEM";-;-;1;2393;2394
"0101050062 SESSAO DE ARTETERAPIA";-;-;141;4024;4165
"0101050070 SESSAO DE MEDITACAO";-;-;149;3740;3889
"0101050089 SESSAO DE MUSICOTERAPIA";-;-;396;1818;2214
"0101050097 SESSAO DE ANTROPOSOFIA APLICADA A SAUDE";-;8;-;74;82
"0101050100 SESSAO DE BIODANCA";-;-;-;209;209
"0101050119 SESSAO DE BIOENERGETICA";-;-;-;32;32
"0101050127 SESSAO DE CONSTELACAO FAMILIAR";-;-;-;81;81
"0101050135 SESSAO DE DANCA CIRCULAR";-;-;26;3453;3479
"0101050143 SESSAO DE TERMALISMO";-;-;1;-;1
"0101050151 OFICINA COLETIVA DE SHANTALA";-;-;-;9;9
"0101050194 ATIVIDADES COLETIVAS DE INTEGRACAO COM A COMUNIDADE, CIDADE E TERRITORIO";-;-;-;153;153
"0102010056 ATIVIDADES EDUCATIVAS PARA O SETOR REGULADO";-;1;44;27735;27780
"0102010064 ANALISE DE PROJETOS BASICOS DE ARQUITETURA";-;-;102;1377;1479
"0102010072 CADASTRO DE ESTABELECIMENTOS SUJEITOS A VIGILANCIA SANITARIA";-;-;1337;2969;4306
"0102010145 INSPECAO SANITARIA DE HOSPITAIS";-;-;3;309;312
"0102010153 INVESTIGACAO DE EVENTOS ADVERSOS E/OU QUEIXAS TECNICAS";19925;18562;15099;8207;61793
"0102010161 EXCLUSAO DE CADASTRO DE ESTABELECIMENTOS SUJEITOS A VIGILANCIA SANITARIA COM ATIVIDADES ENCERRADA";-;-;15;724;739
"0102010170 INSPECAO DOS ESTABELECIMENTOS SUJEITOS A VIGILANCIA SANITARIA";96;144;686;17473;18399
"0102010188 LICENCIAMENTO DOS ESTABELECIMENTOS SUJEITOS A VIGILANCIA SANITARIA";-;1;2034;7051;9086
"0102010196 APROVACAO DE PROJETOS BASICOS DE ARQUITETURA";-;-;38;381;419
"0102010200 INVESTIGACAO DE SURTOS DE DOENCAS TRANSMITIDAS POR ALIMENTOS";-;-;-;302;302
"0102010218 INVESTIGACAO DE SURTOS DE INFECCAO EM SERVICOS DE SAUDE";-;-;-;10087;10087
"0102010226 ATIVIDADE EDUCATIVA PARA A POPULACAO";-;10;3;15559;15572
"0102010234 RECEBIMENTO DE DENUNCIAS/RECLAMACOES";18;45;357;6807;7227
"0102010242 ATENDIMENTO A DENUNCIAS/RECLAMACOES";18;45;1739;10245;12047
"0102010250 CADASTRO DE HOSPITAIS";-;-;-;10;10
"0102010269 LICENCIAMENTO SANITARIO DE HOSPITAIS";-;-;4;55;59
"0102010277 CADASTRO DE INSTITUICOES DE LONGA PERMANENCIA PARA IDOSOS";-;-;5;33;38
"0102010285 INSPECAO SANITARIA DE INSTITUICOES DE LONGA PERMANENCIA PARA IDOSOS";10;10;42;350;412
